2022-03-13 19:06:32.7238|DeviceManager.Api.Program|DEBUG|init main 
2022-03-13 19:06:34.2806|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|INFO|User profile is available. Using '/Users/akshayhiranwal/.aspnet/DataProtection-Keys' as key repository; keys will not be encrypted at rest. 
2022-03-13 19:06:34.3553|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|INFO|Creating key {cf60b96e-6379-4a0c-8f3f-926b00d26cf5} with creation date 2022-03-13 19:06:34Z, activation date 2022-03-13 19:06:34Z, and expiration date 2022-06-11 19:06:34Z. 
2022-03-13 19:06:34.3761|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|WARN|No XML encryptor configured. Key {cf60b96e-6379-4a0c-8f3f-926b00d26cf5} may be persisted to storage in unencrypted form. 
2022-03-13 19:06:34.3883|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|INFO|Writing data to file '/Users/akshayhiranwal/.aspnet/DataProtection-Keys/key-cf60b96e-6379-4a0c-8f3f-926b00d26cf5.xml'. 
2022-03-13 19:06:36.5717|Microsoft.Hosting.Lifetime|INFO|Now listening on: http://localhost:52217 
2022-03-13 19:06:36.6045|Microsoft.Hosting.Lifetime|INFO|Application started. Press Ctrl+C to shut down. 
2022-03-13 19:06:36.6307|Microsoft.Hosting.Lifetime|INFO|Hosting environment: Development 
2022-03-13 19:06:36.6564|Microsoft.Hosting.Lifetime|INFO|Content root path: /Users/akshayhiranwal/Akshay/Skillikz/LMS/LMSTenantAPI 
2022-03-13 19:06:37.8325|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/1.1 GET http://localhost:52217/swagger   
2022-03-13 19:06:38.0813|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished in 272.0671ms 301  
2022-03-13 19:06:38.3979|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/1.1 GET http://localhost:52217/swagger/index.html   
2022-03-13 19:06:38.5108|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished in 193.5955ms 200 text/html;charset=utf-8 
2022-03-13 19:06:38.6792|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/1.1 GET http://localhost:52217/swagger/swagger-ui.css   
2022-03-13 19:06:38.6792|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/1.1 GET http://localhost:52217/swagger/swagger-ui-bundle.js   
2022-03-13 19:06:38.7130|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/1.1 GET http://localhost:52217/swagger/swagger-ui-standalone-preset.js   
2022-03-13 19:06:39.9205|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|INFO|Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A' 
2022-03-13 19:06:39.9215|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|INFO|Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A' 
2022-03-13 19:06:40.0374|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|INFO|Sending file. Request path: '/swagger-ui-bundle.js'. Physical path: 'N/A' 
2022-03-13 19:06:40.0489|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished in 1335.1308ms 200 application/javascript 
2022-03-13 19:06:40.0489|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished in 1444.6121ms 200 application/javascript 
2022-03-13 19:06:40.0489|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished in 1444.6006ms 200 text/css 
2022-03-13 19:06:40.2214|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/1.1 GET http://localhost:52217/swagger/favicon-32x32.png   
2022-03-13 19:06:40.2223|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/1.1 GET http://localhost:52217/swagger/v1/swagger.json   
2022-03-13 19:06:40.4102|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|INFO|Sending file. Request path: '/favicon-32x32.png'. Physical path: 'N/A' 
2022-03-13 19:06:40.4897|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished in 293.4097ms 200 image/png 
2022-03-13 19:06:41.3274|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished in 1133.2429ms 200 application/json;charset=utf-8 
